,id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,game,min,oreb,pf,player,pts,reb,stl,team,turnover
0,12070093,2,1,3,0.33333334,12,4,0.5833333,24,14,1.0,3,3,"{'id': 857355, 'date': '2022-10-18T00:00:00.000Z', 'home_team_id': 2, 'home_team_score': 126, 'period': 4, 'postseason': False, 'season': 2022, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 23, 'visitor_team_score': 117}",39,0,1,"{'id': 70, 'first_name': 'Jaylen', 'height_feet': 6, 'height_inches': 7, 'last_name': 'Brown', 'position': 'G', 'team_id': 2, 'weight_pounds': 220}",35,3,2,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",4
1,12070094,4,1,12,0.2857143,7,2,0.65,20,13,0.7777778,9,7,"{'id': 857355, 'date': '2022-10-18T00:00:00.000Z', 'home_team_id': 2, 'home_team_score': 126, 'period': 4, 'postseason': False, 'season': 2022, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 23, 'visitor_team_score': 117}",39,0,1,"{'id': 434, 'first_name': 'Jayson', 'height_feet': 6, 'height_inches': 8, 'last_name': 'Tatum', 'position': 'F', 'team_id': 2, 'weight_pounds': 208}",35,12,1,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",3
2,12070095,1,0,4,0.4,5,2,0.2857143,7,2,0.0,0,0,"{'id': 857355, 'date': '2022-10-18T00:00:00.000Z', 'home_team_id': 2, 'home_team_score': 126, 'period': 4, 'postseason': False, 'season': 2022, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 23, 'visitor_team_score': 117}",23,1,4,"{'id': 219, 'first_name': 'Al', 'height_feet': 6, 'height_inches': 10, 'last_name': 'Horford', 'position': 'C-F', 'team_id': 2, 'weight_pounds': 245}",6,5,0,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",0
3,12070096,4,0,2,0.0,1,0,0.33333334,3,1,0.0,1,0,"{'id': 857355, 'date': '2022-10-18T00:00:00.000Z', 'home_team_id': 2, 'home_team_score': 126, 'period': 4, 'postseason': False, 'season': 2022, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 23, 'visitor_team_score': 117}",24,1,2,"{'id': 473, 'first_name': 'Derrick', 'height_feet': 6, 'height_inches': 4, 'last_name': 'White', 'position': 'G', 'team_id': 2, 'weight_pounds': 190}",2,3,1,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",1
4,12070097,7,0,2,0.25,4,1,0.375,8,3,0.875,8,7,"{'id': 857355, 'date': '2022-10-18T00:00:00.000Z', 'home_team_id': 2, 'home_team_score': 126, 'period': 4, 'postseason': False, 'season': 2022, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 23, 'visitor_team_score': 117}",36,1,3,"{'id': 420, 'first_name': 'Marcus', 'height_feet': 6, 'height_inches': 4, 'last_name': 'Smart', 'position': 'G', 'team_id': 2, 'weight_pounds': 220}",14,3,1,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",1
5,12070098,0,1,2,0.0,0,0,0.5,2,1,0.0,0,0,"{'id': 857355, 'date': '2022-10-18T00:00:00.000Z', 'home_team_id': 2, 'home_team_score': 126, 'period': 4, 'postseason': False, 'season': 2022, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 23, 'visitor_team_score': 117}",20,0,4,"{'id': 459, 'first_name': 'Noah', 'height_feet': 6, 'height_inches': 9, 'last_name': 'Vonleh', 'position': 'F', 'team_id': 2, 'weight_pounds': 250}",2,2,1,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",0
6,12070099,1,0,1,1.0,3,3,1.0,5,5,0.6666667,3,2,"{'id': 857355, 'date': '2022-10-18T00:00:00.000Z', 'home_team_id': 2, 'home_team_score': 126, 'period': 4, 'postseason': False, 'season': 2022, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 23, 'visitor_team_score': 117}",24,0,3,"{'id': 666965, 'first_name': 'Grant', 'height_feet': None, 'height_inches': None, 'last_name': 'Williams', 'position': 'F', 'team_id': 2, 'weight_pounds': None}",15,1,0,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",0
7,12070100,4,0,1,0.0,2,0,0.6363636,11,7,1.0,2,2,"{'id': 857355, 'date': '2022-10-18T00:00:00.000Z', 'home_team_id': 2, 'home_team_score': 126, 'period': 4, 'postseason': False, 'season': 2022, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 23, 'visitor_team_score': 117}",24,1,2,"{'id': 65, 'first_name': 'Malcolm', 'height_feet': 6, 'height_inches': 5, 'last_name': 'Brogdon', 'position': 'G', 'team_id': 2, 'weight_pounds': 229}",16,2,2,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",1
8,12070101,1,0,3,0.0,1,0,0.0,2,0,0.5,2,1,"{'id': 857355, 'date': '2022-10-18T00:00:00.000Z', 'home_team_id': 2, 'home_team_score': 126, 'period': 4, 'postseason': False, 'season': 2022, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 23, 'visitor_team_score': 117}",08,2,3,"{'id': 189, 'first_name': 'Blake', 'height_feet': 6, 'height_inches': 10, 'last_name': 'Griffin', 'position': 'F', 'team_id': 2, 'weight_pounds': 250}",1,5,0,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",0
9,12070102,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,"{'id': 857355, 'date': '2022-10-18T00:00:00.000Z', 'home_team_id': 2, 'home_team_score': 126, 'period': 4, 'postseason': False, 'season': 2022, 'status': 'Final', 'time': 'Final', 'visitor_team_id': 23, 'visitor_team_score': 117}",03,0,1,"{'id': 17896060, 'first_name': 'Sam', 'height_feet': None, 'height_inches': None, 'last_name': 'Hauser', 'position': 'F', 'team_id': 2, 'weight_pounds': None}",0,0,0,"{'id': 2, 'abbreviation': 'BOS', 'city': 'Boston', 'conference': 'East', 'division': 'Atlantic', 'full_name': 'Boston Celtics', 'name': 'Celtics'}",0
